Experiment	bias spectroscopy	
Saved Date	01.01.2000 00:00:00	
User		
Date	01.01.2000 00:00:00	
X (m)	4.96447E-9	
Y (m)	6.49409E-9	
Z (m)	-173.056E-9	
Z offset (m)	0E+0	
Settling time (s)	800E-6	
Integration time (s)	6E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	01.01.2000 00:00:00	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 6 (V)	Bias (V)	OC M1 Freq. Shift (Hz)	Current [bwd] (A)	Input 6 [bwd] (V)	Bias [bwd] (V)	OC M1 Freq. Shift [bwd] (Hz)
5.00000E-1	4.54135E-11	4.00085E-2	5.00000E-1	-2.24835E+1	5.75873E-11	3.84704E-2	5.00000E-1	-2.23774E+1
4.99350E-1	4.39594E-11	3.95290E-2	4.99350E-1	-2.24670E+1	5.38415E-11	3.78720E-2	4.99350E-1	-2.25974E+1
4.98700E-1	4.92975E-11	3.91405E-2	4.98700E-1	-2.23737E+1	4.61742E-11	3.68762E-2	4.98700E-1	-2.24162E+1
4.98050E-1	5.60421E-11	3.93864E-2	4.98050E-1	-2.25883E+1	4.26986E-11	3.63532E-2	4.98050E-1	-2.23293E+1
4.97400E-1	5.59388E-11	4.07248E-2	4.97400E-1	-2.23962E+1	4.77646E-11	3.67944E-2	4.97400E-1	-2.25073E+1
4.96750E-1	4.85165E-11	4.26500E-2	4.96750E-1	-2.24116E+1	5.39209E-11	3.72666E-2	4.96750E-1	-2.24093E+1
4.96100E-1	4.27963E-11	4.43285E-2	4.96100E-1	-2.24554E+1	5.49360E-11	3.70023E-2	4.96100E-1	-2.23995E+1
4.95450E-1	4.41110E-11	4.49339E-2	4.95450E-1	-2.25273E+1	5.02545E-11	3.62449E-2	4.95450E-1	-2.24632E+1
4.94800E-1	5.15036E-11	4.45235E-2	4.94800E-1	-2.25781E+1	4.27529E-11	3.60969E-2	4.94800E-1	-2.26574E+1
4.94150E-1	5.57486E-11	4.37917E-2	4.94150E-1	-2.22732E+1	4.25100E-11	3.70484E-2	4.94150E-1	-2.25899E+1
4.93500E-1	5.28272E-11	4.34094E-2	4.93500E-1	-2.25070E+1	4.96016E-11	3.86238E-2	4.93500E-1	-2.23546E+1
4.92850E-1	4.57419E-11	4.34087E-2	4.92850E-1	-2.21150E+1	5.50899E-11	3.94340E-2	4.92850E-1	-2.25038E+1
4.92200E-1	4.19731E-11	4.33349E-2	4.92200E-1	-2.24702E+1	5.33506E-11	3.89972E-2	4.92200E-1	-2.25282E+1
4.91550E-1	4.63508E-11	4.28076E-2	4.91550E-1	-2.24206E+1	4.62980E-11	3.79655E-2	4.91550E-1	-2.24119E+1
4.90900E-1	5.27061E-11	4.19046E-2	4.90900E-1	-2.24002E+1	4.11687E-11	3.75675E-2	4.90900E-1	-2.24749E+1
4.90250E-1	5.43943E-11	4.10086E-2	4.90250E-1	-2.24887E+1	4.38143E-11	3.80042E-2	4.90250E-1	-2.25222E+1
4.89600E-1	4.86161E-11	4.06928E-2	4.89600E-1	-2.26013E+1	5.08593E-11	3.84074E-2	4.89600E-1	-2.26411E+1
4.88950E-1	4.17161E-11	4.08446E-2	4.88950E-1	-2.23643E+1	5.38113E-11	3.78045E-2	4.88950E-1	-2.26086E+1
4.88300E-1	4.13344E-11	4.09932E-2	4.88300E-1	-2.21930E+1	4.99240E-11	3.66758E-2	4.88300E-1	-2.24657E+1
4.87650E-1	4.76349E-11	4.09118E-2	4.87650E-1	-2.26435E+1	4.21282E-11	3.60450E-2	4.87650E-1	-2.23475E+1
4.87000E-1	5.36016E-11	4.04925E-2	4.87000E-1	-2.22501E+1	4.02023E-11	3.65376E-2	4.87000E-1	-2.23571E+1
4.86350E-1	5.24226E-11	4.01658E-2	4.86350E-1	-2.24484E+1	4.53229E-11	3.75775E-2	4.86350E-1	-2.22882E+1
4.85700E-1	4.48978E-11	4.04292E-2	4.85700E-1	-2.21725E+1	5.20982E-11	3.81683E-2	4.85700E-1	-2.24136E+1
4.85050E-1	3.94509E-11	4.08034E-2	4.85050E-1	-2.24016E+1	5.31935E-11	3.81291E-2	4.85050E-1	-2.22540E+1
4.84400E-1	4.16320E-11	4.09575E-2	4.84400E-1	-2.24471E+1	4.57908E-11	3.76926E-2	4.84400E-1	-2.23599E+1
