Experiment	bias spectroscopy	
Saved Date	01.01.2000 00:00:00	
User		
Date	01.01.2000 00:00:00	
X (m)	177.347E-9	
Y (m)	270.765E-9	
Z (m)	-101.958E-9	
Z offset (m)	0E+0	
Settling time (s)	2E-3	
Integration time (s)	30E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-101.957E-9	
Start time	01.01.2000 00:00:00	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	-15E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	-15E-3	
Bias Spectroscopy>Sweep End (V)	15E-3	
Bias Spectroscopy>Num Pixel	401	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	5E-3	
Bias Spectroscopy>Settling time (s)	2E-3	
Bias Spectroscopy>Integration time (s)	30E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	2	
Bias Spectroscopy>Channels	Current (A);LockIn (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	TRUE	
Bias Spectroscopy>Lock-In run	FALSE	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	799E+0	
Lock-in>Amplitude	1.5E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>Harmonic [First]	1	
Lock-in>Harmonic [Second]	2	
Lock-in>Reference phase (deg) [First]	155.043E+0	
Lock-in>Reference phase (deg) [Second]	-25.5531E+0	
NanonisMain>Session Path		
NanonisMain>SW Version	Generic 4.5	
NanonisMain>UI Release	4505	
NanonisMain>RT Release	4505	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	TRUE	
Oscillation Control>Input Calibration (m/V)	3.2E-9	
Oscillation Control>Input Range (m)	1.70035E-9	
Oscillation Control>Center Frequency (Hz)	34.73E+3	
Oscillation Control>Range (Hz)	2.44141E+3	
Oscillation Control>Reference Phase (deg)	-206.39E+0	
Oscillation Control>Cut off frq (Hz)	48.6	
Oscillation Control>Harmonic	1	
Oscillation Control>Phase P gain (Hz/rad)	33.715E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	713.07E-3	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	95.1224E+0	
Oscillation Control>Amplitude Setpoint (m)	1E-9	
Oscillation Control>Amplitude P gain (V/nm)	71.7162E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	1.50944E+9	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	-155.44E-3	
Oscillation Control>output divider	10	
Oscillation Control>output off	TRUE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	-86.3643E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	10E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	10E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	3.334E-9	
Piezo Calibration>Active Calib.	Default	
Piezo Calibration>Calib. X (m/V)	3.5E-9	
Piezo Calibration>Calib. Y (m/V)	3.5E-9	
Piezo Calibration>Calib. Z (m/V)	688E-12	
Piezo Calibration>HV Gain X	15	
Piezo Calibration>HV Gain Y	15	
Piezo Calibration>HV Gain Z	40	
Piezo Calibration>Tilt X (deg)	-0.8	
Piezo Calibration>Tilt Y (deg)	2.65	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Scan>Scanfield	179.518E-9;273.973E-9;12E-9;12E-9;0E+0	
Scan>series name	scan_%Y-%m-%d_%H-%M-%S_img%R	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	80	
Scan>lines	80	
Scan>speed forw. (m/s)	25.4237E-9	
Scan>speed backw. (m/s)	25.4237E-9	
Z-Controller>Z (m)	-101.955E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	500E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1E-15	
Z-Controller>I gain	30E-9	
Z-Controller>Time const (s)	33.3333E-9	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current [AVG] (A)	LockIn [AVG] (V)	Current [00001] (A)	LockIn [00001] (V)	Current [00002] (A)	LockIn [00002] (V)	Current [AVG] [bwd] (A)	LockIn [AVG] [bwd] (V)	Current [00001] [bwd] (A)	LockIn [00001] [bwd] (V)	Current [00002] [bwd] (A)	LockIn [00002] [bwd] (V)
-15.0000E-3	-500.983E-12	3.99821E+0	-502.996E-12	3.94842E+0	-498.969E-12	4.04801E+0	-514.219E-12	4.23277E+0	-520.526E-12	4.34214E+0	-507.913E-12	4.12341E+0
-14.9250E-3	-499.521E-12	4.05432E+0	-500.268E-12	4.03414E+0	-498.773E-12	4.07449E+0	-514.693E-12	4.33798E+0	-517.905E-12	4.48267E+0	-511.481E-12	4.19329E+0
-14.8500E-3	-498.587E-12	3.97025E+0	-504.490E-12	3.99986E+0	-492.684E-12	3.94064E+0	-509.610E-12	4.39124E+0	-516.804E-12	4.61210E+0	-502.417E-12	4.17038E+0
-14.7750E-3	-494.957E-12	4.04023E+0	-495.805E-12	3.96698E+0	-494.109E-12	4.11348E+0	-507.038E-12	4.40230E+0	-513.066E-12	4.55891E+0	-501.009E-12	4.24570E+0
-14.7000E-3	-489.894E-12	4.20938E+0	-489.999E-12	4.14261E+0	-489.789E-12	4.27615E+0	-505.879E-12	4.43362E+0	-513.299E-12	4.41292E+0	-498.459E-12	4.45432E+0
-14.6250E-3	-494.886E-12	4.27143E+0	-504.726E-12	4.29602E+0	-485.046E-12	4.24685E+0	-504.533E-12	4.44682E+0	-508.430E-12	4.33171E+0	-500.635E-12	4.56194E+0
-14.5500E-3	-483.162E-12	4.17204E+0	-483.067E-12	4.16478E+0	-483.256E-12	4.17931E+0	-499.249E-12	4.31774E+0	-504.834E-12	4.30026E+0	-493.664E-12	4.33522E+0
